Datum,Cislo1,Cislo2,Cislo3,Cislo4,Cislo5
3.5.2019,19,3,42,10,9
10.5.2019,29,15,7,19,5
17.5.2019,27,33,20,46,35
24.5.2019,50,47,38,26,8
31.5.2019,10,35,12,36,43
7.6.2019,8,20,7,38,35
14.6.2019,42,40,41,8,23
21.6.2019,45,41,20,37,27
28.6.2019,38,18,26,25,35
5.7.2019,50,1,48,15,34
12.7.2019,36,31,40,45,42
19.7.2019,47,32,45,49,31
26.7.2019,46,8,30,3,48
2.8.2019,6,41,38,44,11
9.8.2019,4,49,20,21,2
16.8.2019,20,44,42,7,35
23.8.2019,19,18,15,41,42
30.8.2019,35,10,46,18,32
6.9.2019,29,21,24,30,50
13.9.2019,22,33,21,47,3
20.9.2019,21,48,17,49,41
27.9.2019,34,21,24,47,26
4.10.2019,15,19,20,45,49
11.10.2019,44,39,8,12,13
18.10.2019,44,9,6,43,31
25.10.2019,34,2,30,45,35
1.11.2019,17,40,31,3,34
8.11.2019,49,39,14,23,20
15.11.2019,24,30,39,10,19
22.11.2019,3,24,12,37,38
29.11.2019,31,2,30,45,3
6.12.2019,8,14,30,23,45
13.12.2019,25,31,49,38,50
20.12.2019,22,35,12,20,21
27.12.2019,28,45,7,34,12
3.1.2020,35,41,6,30,27
10.1.2020,4,25,49,34,14
17.1.2020,49,1,45,32,23
24.1.2020,5,29,48,20,12
31.1.2020,39,12,1,23,7
7.2.2020,44,7,22,16,36
14.2.2020,30,49,2,6,32
21.2.2020,47,39,45,13,2
28.2.2020,38,12,22,24,29
6.3.2020,35,36,41,19,15
13.3.2020,17,1,39,29,42
20.3.2020,30,37,28,14,9
27.3.2020,41,13,34,23,19
3.4.2020,3,41,26,40,21
10.4.2020,43,50,2,8,7
17.4.2020,33,41,1,18,23
24.4.2020,35,13,34,6,15
1.5.2020,21,11,41,6,12
8.5.2020,11,15,36,9,43
15.5.2020,34,49,29,21,27
22.5.2020,15,40,32,45,12
29.5.2020,22,31,36,8,32
5.6.2020,29,39,9,16,17
12.6.2020,7,22,30,48,16
19.6.2020,38,47,33,2,22
26.6.2020,47,34,14,32,16
3.7.2020,12,36,48,34,47
10.7.2020,5,9,6,29,15
17.7.2020,13,21,25,35,34
24.7.2020,7,11,43,19,32
31.7.2020,3,19,43,28,49
7.8.2020,28,24,15,9,4
14.8.2020,35,9,48,27,20
21.8.2020,26,27,49,30,46
28.8.2020,22,41,8,38,11
4.9.2020,5,23,49,38,28
11.9.2020,5,2,45,43,24
18.9.2020,40,7,14,12,42
25.9.2020,1,7,9,46,29
2.10.2020,39,49,15,34,19
9.10.2020,23,17,29,11,1
16.10.2020,11,35,50,44,5
23.10.2020,23,17,21,37,45
30.10.2020,39,33,19,11,24
6.11.2020,12,5,50,47,26
13.11.2020,38,37,5,17,21
20.11.2020,50,20,34,49,18
27.11.2020,25,22,2,30,1
4.12.2020,40,41,27,1,37
11.12.2020,49,13,15,4,41
18.12.2020,4,17,28,50,27
25.12.2020,7,26,42,10,19
1.1.2021,36,43,17,38,46
8.1.2021,22,25,50,8,38
15.1.2021,19,46,10,32,36
22.1.2021,40,41,38,48,46
29.1.2021,30,16,36,43,33
5.2.2021,33,46,3,16,2
12.2.2021,27,18,24,44,15
19.2.2021,35,27,36,38,41
26.2.2021,32,24,3,29,13
5.3.2021,23,40,9,42,34
12.3.2021,26,11,34,6,18
19.3.2021,19,37,3,34,11
26.3.2021,41,44,7,38,50
2.4.2021,1,43,36,3,4
9.4.2021,32,18,23,29,11
16.4.2021,31,28,12,20,19
23.4.2021,6,3,11,14,49
30.4.2021,43,27,34,40,23
7.5.2021,27,7,19,3,29
14.5.2021,42,50,29,15,1
21.5.2021,39,2,33,15,12
28.5.2021,15,37,43,35,26
4.6.2021,49,26,13,50,17
11.6.2021,23,8,20,50,48
18.6.2021,44,49,14,46,11
25.6.2021,30,4,22,47,17
2.7.2021,25,10,5,31,4
9.7.2021,31,8,14,15,20
16.7.2021,14,9,39,37,24
23.7.2021,13,48,42,33,50
30.7.2021,5,43,14,44,39
6.8.2021,21,16,29,19,36
13.8.2021,46,31,39,4,43
20.8.2021,34,8,36,31,45
27.8.2021,42,22,19,20,25
3.9.2021,5,9,20,44,48
10.9.2021,42,14,18,2,23
17.9.2021,20,27,17,14,32
24.9.2021,38,49,22,12,35
1.10.2021,33,34,37,20,39
8.10.2021,46,20,28,32,38
15.10.2021,25,8,6,21,2
22.10.2021,33,38,15,43,34
29.10.2021,44,38,11,23,37
5.11.2021,13,25,6,49,31
12.11.2021,4,44,46,30,43
19.11.2021,21,6,12,34,20
26.11.2021,17,7,37,39,21
3.12.2021,2,5,23,13,15
10.12.2021,8,34,30,48,9
17.12.2021,16,50,8,44,6
24.12.2021,42,17,21,35,3
31.12.2021,43,36,42,7,16
7.1.2022,47,23,21,17,8
14.1.2022,15,41,9,44,27
21.1.2022,5,29,9,2,32
28.1.2022,21,5,29,35,23
4.2.2022,12,27,18,33,41
11.2.2022,42,37,5,10,26
18.2.2022,29,10,32,25,5
25.2.2022,41,4,34,43,19
4.3.2022,17,1,36,49,20
11.3.2022,5,31,49,46,39
18.3.2022,1,38,33,43,8
25.3.2022,46,11,35,31,20
29.3.2022,18,24,39,10,15
1.4.2022,37,49,8,7,35
5.4.2022,28,48,38,10,9
8.4.2022,48,2,26,45,41
12.4.2022,24,41,20,19,36
15.4.2022,5,10,24,2,20
19.4.2022,7,17,35,3,15
22.4.2022,28,18,50,2,42
